video_name,frame_idx,track_id,class_id,x1,y1,x2,y2,cx,cy,dx,dy,dframes,velocity,direction,acceleration,direction_change,rolling_dx,rolling_dy,traj_direction,curvature
LP_C34tyPl4_00,0,11,0,862.0000003192708,471.69999975,923.2999996807292,519.70000025,892.6500000000001,495.70000000000005,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
LP_C34tyPl4_00,0,9,0,939.3000003045602,339.99999975000003,976.6999996954398,370.70000025,958.0,355.35,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
LP_C34tyPl4_00,0,8,0,1072.0000003333332,236.29999975,1087.9999996666668,248.30000025,1080.0,242.3,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
LP_C34tyPl4_00,0,7,0,1080.000000318027,251.99999975000003,1098.6999996819727,266.70000025,1089.35,259.35,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
LP_C34tyPl4_00,0,6,0,352.7000004534722,391.29999975,417.9999995465278,427.30000025,385.35,409.29999999999995,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
LP_C34tyPl4_00,0,5,0,1056.0000002985075,245.79999975,1071.9999997014925,259.20000025,1064.0,252.5,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
LP_C34tyPl4_00,0,3,0,626.0000003737624,322.69999975,671.2999996262375,353.00000025,648.65,337.85,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
LP_C34tyPl4_00,0,2,0,1050.7000003445596,299.99999975,1077.2999996554404,319.30000025,1064.0,309.65,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
LP_C34tyPl4_00,2,11,0,872.0,462.7,932.0,510.7,902.0,486.7,9.349999999999909,-9.000000000000057,2.0,6.488884726977344,-0.7663269064053027,0.0,0.0,9.349999999999909,-9.000000000000057,-0.7663269064053027,0.0
LP_C34tyPl4_00,2,9,0,944.0,336.0,981.3,366.7,962.65,351.35,4.649999999999977,-4.0,2.0,3.0668591425104523,-0.7103946168803731,0.0,0.0,4.649999999999977,-4.0,-0.7103946168803731,0.0
LP_C34tyPl4_00,2,8,0,1074.0,233.8,1090.0,247.2,1082.0,240.5,2.0,-1.8000000000000114,2.0,1.345362404707375,-0.7328151017865098,0.0,0.0,2.0,-1.8000000000000114,-0.7328151017865098,0.0
LP_C34tyPl4_00,2,7,0,1082.7,250.0,1101.3,264.7,1092.0,257.35,2.650000000000091,-2.0,2.0,1.6600075301034392,-0.6465131478772188,0.0,0.0,2.650000000000091,-2.0,-0.6465131478772188,0.0
LP_C34tyPl4_00,2,6,0,331.3,396.0,399.3,434.0,365.3,415.0,-20.05000000000001,5.7000000000000455,2.0,10.422241841369843,2.8646109509879705,0.0,0.0,-20.05000000000001,5.7000000000000455,2.8646109509879705,0.0
LP_C34tyPl4_00,2,5,0,1058.0,243.0,1074.0,257.7,1066.0,250.35,2.0,-2.1500000000000057,2.0,1.4682046860026043,-0.821527013910225,0.0,0.0,2.0,-2.1500000000000057,-0.821527013910225,0.0
LP_C34tyPl4_00,2,3,0,616.0,324.0,661.3,355.3,638.65,339.65,-10.0,1.7999999999999545,2.0,5.080354318352211,2.9634997153586,0.0,0.0,-10.0,1.7999999999999545,2.9634997153586,0.0
LP_C34tyPl4_00,2,2,0,1053.3,297.0,1080.0,317.0,1066.65,307.0,2.650000000000091,-2.6499999999999773,2.0,1.873832970144375,-0.7853981633974269,0.0,0.0,2.650000000000091,-2.6499999999999773,-0.7853981633974269,0.0
LP_C34tyPl4_00,4,15,0,35.600000381506845,103.39999975,91.29999961849316,139.90000025,63.45,121.65,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
LP_C34tyPl4_00,4,11,0,881.3,456.0,934.7,501.3,908.0,478.65,6.0,-8.050000000000011,2.0,5.020022410308548,-0.9302832569175671,-0.7344311583343979,-0.16395635051226445,7.6749999999999545,-8.525000000000034,-0.8378192292217024,0.05465211683742149
LP_C34tyPl4_00,4,9,0,948.7,334.5,984.7,364.0,966.7,349.25,4.050000000000068,-2.1000000000000227,2.0,2.281035948861868,-0.47835243137865513,-0.3929115968242922,0.23204218550171796,4.350000000000023,-3.0500000000000114,-0.611496974259561,0.07734739516723932
