video_name,frame_idx,track_id,class_id,x1,y1,x2,y2
vR3sZ1IxPAo_01,0,4,0,165.80000039497247,398.19999975,280.49999960502754,470.80000025
vR3sZ1IxPAo_01,0,2,0,2922.8000001857904,1905.19999975,3020.5999998142092,2036.80000025
vR3sZ1IxPAo_01,0,1,0,512.2000003610013,472.49999975000003,621.7999996389987,548.40000025
vR3sZ1IxPAo_01,3,8,0,918.0000003419452,627.29999975,1052.9999996580548,726.00000025
vR3sZ1IxPAo_01,3,4,0,191.7,403.1,289.6,475.9
vR3sZ1IxPAo_01,3,2,0,2922.8,1905.2,3020.6,2036.8
vR3sZ1IxPAo_01,3,1,0,534.9,476.7,643.8,553.5
vR3sZ1IxPAo_01,6,8,0,904.5,626.1,1046.2,729.0
vR3sZ1IxPAo_01,6,4,0,216.4,406.9,326.1,480.9
vR3sZ1IxPAo_01,6,2,0,2922.8,1906.9,3020.6,2035.1
vR3sZ1IxPAo_01,6,1,0,557.7,481.8,669.1,560.2
vR3sZ1IxPAo_01,9,2,0,2922.8,1906.9,3020.6,2035.1
vR3sZ1IxPAo_01,9,1,0,582.2,486.8,691.9,565.3
vR3sZ1IxPAo_01,12,8,0,867.4,626.9,1015.9,736.6
vR3sZ1IxPAo_01,12,2,0,2922.8,1906.9,3024.0,2035.1
vR3sZ1IxPAo_01,12,1,0,605.0,491.1,715.5,572.1
vR3sZ1IxPAo_01,15,8,0,848.8,624.4,999.0,738.3
vR3sZ1IxPAo_01,15,2,0,2919.4,1906.9,3020.6,2035.1
vR3sZ1IxPAo_01,15,1,0,627.8,497.0,740.8,576.3
vR3sZ1IxPAo_01,18,11,0,951.8,354.4,1066.5,425.2
vR3sZ1IxPAo_01,18,8,0,825.2,629.9,982.1,742.1
vR3sZ1IxPAo_01,18,2,0,2922.8,1906.9,3024.0,2035.1
vR3sZ1IxPAo_01,18,1,0,653.1,501.2,762.8,580.5
vR3sZ1IxPAo_01,21,11,0,918.0,345.9,1031.1,420.2
vR3sZ1IxPAo_01,21,8,0,802.4,633.7,959.3,745.0
vR3sZ1IxPAo_01,21,2,0,2922.8,1906.9,3024.0,2038.5
vR3sZ1IxPAo_01,21,1,0,674.6,506.2,784.3,587.2
vR3sZ1IxPAo_01,24,11,0,884.2,341.1,997.3,416.6
vR3sZ1IxPAo_01,24,8,0,775.4,633.7,937.4,749.2
vR3sZ1IxPAo_01,24,2,0,2922.8,1906.9,3024.0,2038.5
vR3sZ1IxPAo_01,24,1,0,696.5,511.7,807.0,591.0
vR3sZ1IxPAo_01,27,11,0,852.6,340.9,963.6,410.1
vR3sZ1IxPAo_01,27,8,0,752.6,635.3,912.9,753.5
vR3sZ1IxPAo_01,27,2,0,2922.8,1906.9,3020.6,2035.1
vR3sZ1IxPAo_01,27,1,0,720.1,515.5,828.1,594.8
vR3sZ1IxPAo_01,30,11,0,819.3,336.4,929.0,406.5
vR3sZ1IxPAo_01,30,8,0,719.7,642.9,886.8,757.7
vR3sZ1IxPAo_01,30,4,0,421.7,441.7,531.6,523.5
vR3sZ1IxPAo_01,30,2,0,2922.8,1906.9,3020.6,2035.1
vR3sZ1IxPAo_01,30,1,0,738.3,519.3,849.7,601.2
vR3sZ1IxPAo_01,33,11,0,788.9,331.0,896.9,401.0
vR3sZ1IxPAo_01,33,8,0,688.1,646.3,860.2,761.9
vR3sZ1IxPAo_01,33,4,0,446.3,448.0,559.4,530.7
vR3sZ1IxPAo_01,33,2,0,2922.8,1906.9,3020.6,2035.1
vR3sZ1IxPAo_01,33,1,0,757.7,525.7,867.4,606.7
vR3sZ1IxPAo_01,36,11,0,758.5,327.0,864.0,395.3
vR3sZ1IxPAo_01,36,8,0,651.8,682.6,829.8,765.3
vR3sZ1IxPAo_01,36,4,0,470.8,462.4,582.2,534.9
vR3sZ1IxPAo_01,36,2,0,2922.8,1906.9,3020.6,2035.1
vR3sZ1IxPAo_01,36,1,0,777.9,527.8,886.8,609.6
vR3sZ1IxPAo_01,39,11,0,726.5,324.0,832.8,389.0
vR3sZ1IxPAo_01,39,8,0,618.0,648.8,799.5,770.3
vR3sZ1IxPAo_01,39,4,0,496.1,464.9,610.9,539.2
vR3sZ1IxPAo_01,39,2,0,2922.8,1906.9,3020.6,2035.1
vR3sZ1IxPAo_01,39,1,0,796.5,532.4,906.2,615.1
vR3sZ1IxPAo_01,42,13,0,13.6,327.8,110.3,394.0
vR3sZ1IxPAo_01,42,11,0,696.5,319.4,804.5,384.8
vR3sZ1IxPAo_01,42,8,0,581.3,673.3,767.0,772.9
vR3sZ1IxPAo_01,42,4,0,520.6,468.3,634.5,545.9
vR3sZ1IxPAo_01,42,2,0,2922.8,1906.9,3020.6,2038.5
vR3sZ1IxPAo_01,42,1,0,816.8,534.9,924.8,619.3
vR3sZ1IxPAo_01,45,13,0,33.2,335.0,134.3,399.9
vR3sZ1IxPAo_01,45,11,0,667.4,314.9,772.0,378.6
vR3sZ1IxPAo_01,45,8,0,539.6,653.9,732.0,777.1
vR3sZ1IxPAo_01,45,4,0,545.1,467.4,655.6,550.1
vR3sZ1IxPAo_01,45,2,0,2922.8,1906.9,3020.6,2035.1
vR3sZ1IxPAo_01,45,1,0,835.3,537.5,945.0,623.5
vR3sZ1IxPAo_01,48,11,0,640.4,310.9,741.7,375.0
vR3sZ1IxPAo_01,48,8,0,498.7,653.1,692.7,781.3
