video_name,frame_idx,track_id,class_id,x1,y1,x2,y2
1DTzvlqxm5c_00,0,4,1,1017.300000577474,21.599999750000002,1194.6999994225262,98.40000025
1DTzvlqxm5c_00,0,3,0,459.30000034246575,370.69999975,479.2999996575343,385.30000025
1DTzvlqxm5c_00,0,1,0,430.70000028901734,374.69999975,450.69999971098264,392.00000025
1DTzvlqxm5c_00,1,4,1,1017.3,21.5,1194.7,98.3
1DTzvlqxm5c_00,1,3,0,464.0,372.0,486.7,388.0
1DTzvlqxm5c_00,1,1,0,430.3,374.0,451.0,392.7
1DTzvlqxm5c_00,2,4,1,1017.3,21.5,1194.7,98.3
1DTzvlqxm5c_00,2,3,0,470.0,373.3,491.3,389.3
1DTzvlqxm5c_00,2,1,0,430.3,374.0,451.0,392.7
1DTzvlqxm5c_00,3,4,1,1018.7,22.2,1194.7,98.5
1DTzvlqxm5c_00,3,3,0,476.0,373.7,499.3,391.0
1DTzvlqxm5c_00,3,1,0,429.3,374.3,450.7,393.0
1DTzvlqxm5c_00,4,4,1,1018.7,22.2,1194.7,98.5
1DTzvlqxm5c_00,4,3,0,482.3,375.7,506.3,393.7
1DTzvlqxm5c_00,4,1,0,428.0,372.0,450.7,392.0
1DTzvlqxm5c_00,5,4,1,1017.3,22.2,1196.0,98.6
1DTzvlqxm5c_00,5,3,0,490.0,378.0,514.0,395.3
1DTzvlqxm5c_00,5,1,0,429.7,373.3,455.0,392.7
1DTzvlqxm5c_00,6,9,0,736.0,388.3,761.3,407.7
1DTzvlqxm5c_00,6,4,1,1017.3,22.2,1196.0,98.6
1DTzvlqxm5c_00,6,3,0,496.0,380.0,521.3,397.3
1DTzvlqxm5c_00,6,1,0,429.3,372.3,452.0,392.3
1DTzvlqxm5c_00,7,9,0,728.0,386.7,753.3,406.7
1DTzvlqxm5c_00,7,4,1,1017.3,22.2,1196.0,98.5
1DTzvlqxm5c_00,7,3,0,503.3,382.3,527.3,399.0
1DTzvlqxm5c_00,7,1,0,430.0,372.7,467.3,392.7
1DTzvlqxm5c_00,8,4,1,1017.3,22.2,1196.0,98.6
1DTzvlqxm5c_00,8,3,0,511.0,384.0,537.7,402.0
1DTzvlqxm5c_00,8,1,0,430.0,373.3,451.3,393.3
1DTzvlqxm5c_00,9,4,1,1017.3,22.2,1196.0,98.5
1DTzvlqxm5c_00,9,3,0,519.7,386.7,546.3,404.0
1DTzvlqxm5c_00,9,1,0,430.0,372.7,451.3,392.7
1DTzvlqxm5c_00,10,4,1,1017.3,22.2,1196.0,98.5
1DTzvlqxm5c_00,10,3,0,525.7,388.7,553.7,406.0
1DTzvlqxm5c_00,10,1,0,430.0,373.3,451.3,392.7
1DTzvlqxm5c_00,11,4,1,1017.3,22.2,1196.0,98.5
1DTzvlqxm5c_00,11,3,0,534.7,391.0,564.0,409.0
1DTzvlqxm5c_00,11,1,0,430.0,373.3,451.3,392.7
1DTzvlqxm5c_00,12,10,0,474.7,384.7,498.7,403.3
1DTzvlqxm5c_00,12,4,1,1017.3,22.2,1196.0,98.6
1DTzvlqxm5c_00,12,3,0,543.3,393.0,574.0,411.7
1DTzvlqxm5c_00,12,1,0,430.0,373.3,451.3,392.7
1DTzvlqxm5c_00,13,10,0,481.3,387.0,506.7,405.7
1DTzvlqxm5c_00,13,4,1,1017.3,22.2,1196.0,98.5
1DTzvlqxm5c_00,13,3,0,552.7,395.7,584.0,414.3
1DTzvlqxm5c_00,13,1,0,430.0,373.3,451.3,392.7
1DTzvlqxm5c_00,14,10,0,487.0,388.7,511.7,407.3
1DTzvlqxm5c_00,14,9,0,680.0,377.7,704.0,397.0
1DTzvlqxm5c_00,14,4,1,1017.3,22.2,1196.0,98.5
1DTzvlqxm5c_00,14,3,0,560.0,396.7,592.0,416.7
1DTzvlqxm5c_00,14,1,0,430.0,373.3,451.3,392.7
1DTzvlqxm5c_00,15,11,0,342.7,348.0,360.7,361.3
1DTzvlqxm5c_00,15,10,0,494.3,392.7,519.7,410.0
1DTzvlqxm5c_00,15,9,0,673.0,376.0,697.3,394.7
1DTzvlqxm5c_00,15,4,1,1017.3,22.2,1196.0,98.5
1DTzvlqxm5c_00,15,3,0,569.3,399.3,604.7,419.3
1DTzvlqxm5c_00,15,1,0,430.0,373.3,451.3,392.7
