video_name,frame_idx,original_track_id,track_id,track_id_source,class_id,class_name,x1,y1,x2,y2,cx,cy,dx,dy,dframes,velocity,direction,acceleration,jerk,direction_change,rolling_dx,rolling_dy,traj_direction,curvature
-6SQSDj8cYU_00,427,,-20,synthetic,0,vehicle,928.0,74.0,1055.0,141.0,991.5,107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6SQSDj8cYU_00,428,,-20,synthetic,0,vehicle,928.0,75.0,1055.0,140.0,991.5,107.5,7.75,-3.375,1.0,8.452995031348356,-0.41071696311467204,0.0,0.0,0.0,3.875,-1.6875,-0.41071696311467204,0.0
-6SQSDj8cYU_00,429,,-20,synthetic,0,vehicle,1030.0,70.0,1055.0,100.0,1042.5,85.0,4.0499999999999545,-2.125,1.0,4.573633675754938,-0.4832050173009045,-3.879361355593418,0.0,-0.07248805418623246,3.933333333333318,-1.8333333333333333,-0.4361631227238801,0.024162684728744152
-6SQSDj8cYU_00,430,,-20,synthetic,0,vehicle,1024.0,70.0,1055.0,103.0,1039.5,86.5,8.299999999999955,-4.400000000000006,1.0,9.39414711402793,-0.4874526351858789,4.820513438272992,8.69987479386641,-0.004247617884974408,5.024999999999977,-2.4750000000000014,-0.45765965661689495,0.025578557357068956
-6SQSDj8cYU_00,431,,-20,synthetic,0,vehicle,1018.0,66.0,1055.0,106.0,1036.5,86.0,7.800000000000182,-4.299999999999997,1.0,8.90673902166235,-0.5038269784412797,-0.48740809236558036,-5.3079215306385725,-0.016374343255400766,5.580000000000018,-2.8400000000000007,-0.47079034467021835,0.031036671775535877
-6SQSDj8cYU_00,432,,-20,synthetic,0,vehicle,1011.0,64.0,1055.0,107.0,1033.0,85.5,-2.900000000000091,0.10000000000000853,1.0,2.9017236257094727,3.1071235525902834,-6.005015395952878,-5.5176073035872975,-2.672234776148023,4.166666666666667,-2.349999999999999,-0.5135281958215674,0.8976189124294661
-6SQSDj8cYU_00,433,,-20,synthetic,0,vehicle,1006.0,64.0,1055.0,108.0,1030.5,86.0,-2.900000000000091,-0.20000000000000284,1.0,2.9068883707498174,-3.0727361642887496,0.005164745040344698,6.0101801409932225,0.10332559030055351,3.157142857142844,-2.0428571428571423,-0.5743048301747036,0.9306449032346591
-6SQSDj8cYU_00,434,,-20,synthetic,0,vehicle,1001.0,63.0,1055.0,108.0,1028.0,85.5,-2.8999999999998636,-0.20000000000000284,1.0,2.9068883707495905,-3.0727361642887443,-2.26929586233382e-13,-0.005164745040571628,5.329070518200751e-15,2.4000000000000057,-1.8125,-0.646826117321197,0.9251867888161941
-6SQSDj8cYU_00,435,,-20,synthetic,0,vehicle,995.0,63.0,1055.0,108.0,1025.0,85.5,-2.6000000000001364,0.0,1.0,2.6000000000001364,3.141592653589793,-0.3068883707494541,-0.30688837074922715,-0.06885648930104908,1.8444444444444343,-1.6111111111111112,-0.717976393341543,0.057394026533869304
-6SQSDj8cYU_00,436,,-20,synthetic,0,vehicle,989.0,62.0,1055.0,108.0,1022.0,85.0,-2.7999999999999545,-0.20000000000000284,1.0,2.8071337695235945,-3.0702851888045006,0.20713376952345808,0.5140221402729122,0.0713074647852923,1.3799999999999955,-1.4700000000000002,-0.816966619885228,0.04672131802878224
